descricao;data_ausencia;impacto;prioridade;status;justificativa;referencias
Integração WebRTC básica (Janus.init/attach/PeerConnection);2025-11-18;Sem RTC no navegador, impede áudio/vídeo nativo;média;entregue;Implementado REST+WebRTC básico com fallback;front/src/app/services/janus-api.service.ts:181-283|front/src/app/features/chat/chat/chat.ts:50-79|front/src/app/features/chat/chat/chat.ts:127-131
Plugin VideoRoom (publicar/assinar; UI de sala);2025-11-18;Sem salas de vídeo, bloqueia conferências;média;pendente;Não há requisito de videoconferência;front/src/app/services/janus-api.service.ts:161-179|front/src/app/features/chat/chat/chat.ts:43-70
Moderação em VideoRoom (kick/mute/roles);2025-11-18;Sem controle de participantes;baixa;pendente;Sem VideoRoom implementado;front/src/app/services/janus-api.service.ts:161-179
Simulcast/SVC em publicadores;2025-11-18;Menor eficiência de vídeo;baixa;pendente;Sem publicação RTC;front/src/app/services/janus-api.service.ts:206-217
Compartilhamento de tela (getDisplayMedia);2025-11-18;Usuários não compartilham tela;baixa;pendente;Sem RTC e UI correspondente;front/src/app/features/chat/chat/chat.ts:59-83
Controle de bitrate/resolução via Janus;2025-11-18;Sem ajuste de QoS;baixa;pendente;Sem pipeline de mídia;front/src/app/services/janus-api.service.ts:210-226
ICE Trickle/renegociação/restart;2025-11-18;Menor resiliência de sessão;baixa;pendente;Sem PeerConnection;front/src/app/services/janus-api.service.ts:171-187
DataChannels genéricos;2025-11-18;Sem comunicação RTC low-latency;baixa;pendente;Chat via REST;front/src/app/features/chat/chat/chat.ts:59-83
Plugin TextRoom (chat RTC);2025-11-18;Chat não usa datachannel;baixa;descartado;REST/WebSocket são suficientes;front/src/app/features/chat/chat/chat.ts:22-45
Gravação de sessões via Janus;2025-11-18;Sem gravação de áudio/vídeo;baixa;pendente;Não há requisito de mídia;front/src/app/services/janus-api.service.ts:205-226
Plugin Streaming (RTSP/HLS);2025-11-18;Sem ingest/egress de mídia;baixa;pendente;Escopo atual não requer;front/src/app/services/janus-api.service.ts:206-217
Métricas RTC/QoS no frontend;2025-11-18;Sem telemetria de mídia;baixa;pendente;Sem RTC;front/src/app/services/janus-api.service.ts:210-226
Autenticação/tokens do Janus (rooms/admin);2025-11-18;Sem controle de acesso RTC;baixa;pendente;Sem integração Gateway;front/src/app/services/janus-api.service.ts:332-336
Gestão de salas (criar/destroi/lista);2025-11-18;Sem administração de sessões;baixa;pendente;Sem VideoRoom;front/src/app/services/janus-api.service.ts:171-187